id_produto;cod_ncm;Forma de Aquisicao;Origem da Mercadoria;Tipo de Tributacao;Regra de Tributos;Unidade Comercial
7292;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7296;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7297;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7298;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7299;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7300;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5205;;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5240;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5239;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5226;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5225;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7355;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
15557;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5227;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5201;95069100;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
46543;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45753;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45754;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45845;39233000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45749;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45747;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45750;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
46456;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45748;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
46477;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45752;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
46454;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45751;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45755;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45756;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45757;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
46455;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
45764;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
